review_text,rating,sentiment,reviewer_name,date,hotel_name,original_text,original_length,original_word_count,cleaned_text,cleaned_length,cleaned_word_count,length_reduction,word_reduction,review_length,word_count,avg_word_length,sentence_count,exclamation_count,question_count,uppercase_count,uppercase_ratio,cluster,cluster_name
Standard accommodation. The wifi was slow but the bed was comfortable.,3,neutral,Chris T.,2022-04-01,Crystal Palace Hotel,Standard accommodation. The wifi was slow but the bed was comfortable.,70,11,standard accommod wifi slow bed comfort,39,6,31,5,70,11,5.833333333333333,3,0,0,2,0.028169014084507043,4,Room & Comfort
"Complete waste of money. The room was tiny, dirty, and the breakfast was awful.",1,negative,Rachel G.,2020-06-17,Mountain View Inn,"Complete waste of money. The room was tiny, dirty, and the breakfast was awful.",79,14,complet wast money room tini dirti breakfast aw,47,8,32,6,79,14,5.266666666666667,3,0,0,2,0.025,3,Service & Staff Quality
Excellent hotel with great amenities. The spa treatment was wonderful. A bit pricey.,4,positive,James W.,2021-08-05,Royal Palace Hotel,Excellent hotel with great amenities. The spa treatment was wonderful. A bit pricey.,84,13,excel hotel great amen spa treatment wonder bit pricey,54,9,30,4,84,13,6.0,4,0,0,3,0.03529411764705882,3,Service & Staff Quality
Beautiful hotel in a great location. The rooftop bar had amazing views.,4,positive,Amanda C.,2021-10-24,City Center Suites,Beautiful hotel in a great location. The rooftop bar had amazing views.,71,12,beauti hotel great locat rooftop bar amaz view,46,8,25,4,71,12,5.461538461538462,3,0,0,2,0.027777777777777776,3,Service & Staff Quality
" Considering everything, wonderful hotel with great facilities. the pool and gym were excellent.",4,positive,Eric S.,2022-10-02,Crystal Palace Hotel," Considering everything, wonderful hotel with great facilities. the pool and gym were excellent.",96,13,consid everyth wonder hotel great facil pool gym excel,54,9,42,4,96,13,6.857142857142857,3,0,0,1,0.010309278350515464,3,Service & Staff Quality
" Overall, fantastic service and beautiful rooms. the location was perfect for sightseeing.",5,positive,Lisa P.,2021-03-22,Royal Gardens Hotel," Overall, fantastic service and beautiful rooms. the location was perfect for sightseeing.",90,12,overal fantast servic beauti room locat perfect sightse,55,8,35,4,90,12,6.923076923076923,3,0,0,1,0.01098901098901099,2,"Topic: beauti, perfect, servic"
The hotel met our basic needs. The staff was polite but not memorable.,3,neutral,Brian M.,2024-12-25,City Center Suites,The hotel met our basic needs. The staff was polite but not memorable.,70,13,hotel met basic need staff polit memor,38,7,32,6,70,13,5.0,3,0,0,2,0.028169014084507043,3,Service & Staff Quality
The staff was helpful but the hotel was far from the city center.,3,neutral,Robert H.,2023-07-08,Royal Palace Hotel,The staff was helpful but the hotel was far from the city center.,65,13,staff help hotel far citi center,32,6,33,7,65,13,4.642857142857143,2,0,0,1,0.015151515151515152,3,Service & Staff Quality
Standard hotel with basic amenities. Good for budget travelers. Will come back.,3,neutral,Eric S.,2021-03-06,The Metropolitan,Standard hotel with basic amenities. Good for budget travelers. Will come back.,79,12,standard hotel basic amen good budget travel come back,54,9,25,3,79,12,6.076923076923077,4,0,0,3,0.0375,3,Service & Staff Quality
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out. Not bad.,5,positive,Eric S.,2024-11-01,Luxury Stay Hotel,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out. Not bad.,95,16,best hotel ever stay everyth perfect check check bad,52,9,43,7,95,16,5.588235294117647,4,0,0,4,0.041666666666666664,3,Service & Staff Quality
Excellent hotel with great amenities. The spa treatment was wonderful.,5,positive,Robert H.,2020-11-15,Harbor View Hotel,Excellent hotel with great amenities. The spa treatment was wonderful.,70,10,excel hotel great amen spa treatment wonder,43,7,27,3,70,10,6.363636363636363,3,0,0,2,0.028169014084507043,3,Service & Staff Quality
Standard hotel with basic amenities. Good for budget travelers. A bit pricey.,3,neutral,Emily R.,2020-10-16,Luxury Stay Hotel,Standard hotel with basic amenities. Good for budget travelers. A bit pricey.,77,12,standard hotel basic amen good budget travel bit pricey,55,9,22,3,77,12,5.923076923076923,4,0,0,3,0.038461538461538464,3,Service & Staff Quality
Reasonable stay for the price. The breakfast was average.,3,neutral,Jennifer L.,2023-09-12,Royal Gardens Hotel,Reasonable stay for the price. The breakfast was average.,57,9,reason stay price breakfast averag,34,5,23,4,57,9,5.7,3,0,0,2,0.034482758620689655,3,Service & Staff Quality
"Excellent stay! The room was clean, comfortable, and well-equipped. Will definitely come back. Could be better.",5,positive,Daniel F.,2020-10-10,Budget Inn Express,"Excellent stay! The room was clean, comfortable, and well-equipped. Will definitely come back. Could be better.",111,16,excel stay room clean comfort well equip definit come back could better,71,12,40,4,111,16,6.529411764705882,5,1,0,4,0.03571428571428571,1,Cleanliness & Room Quality
 I must say great value for money! the room was spacious and modern. staff were very friendly.,4,positive,Megan R.,2021-05-04,Royal Gardens Hotel, I must say great value for money! the room was spacious and modern. staff were very friendly.,94,17,must say great valu money room spacious modern staff friend,59,10,35,7,94,17,5.222222222222222,4,1,0,1,0.010526315789473684,3,Service & Staff Quality
"Perfect location, beautiful views, and exceptional service. Highly recommended! Worth the money.",4,positive,Sarah M.,2021-09-12,Park View Hotel,"Perfect location, beautiful views, and exceptional service. Highly recommended! Worth the money.",96,12,perfect locat beauti view except servic high recommend worth money,66,10,30,2,96,12,7.384615384615385,4,1,0,3,0.030927835051546393,2,"Topic: beauti, perfect, servic"
"Perfect location, beautiful views, and exceptional service. Highly recommended!",5,positive,David K.,2022-12-01,Royal Palace Hotel,"Perfect location, beautiful views, and exceptional service. Highly recommended!",79,9,perfect locat beauti view except servic high recommend,54,8,25,1,79,9,7.9,3,1,0,2,0.025,2,"Topic: beauti, perfect, servic"
The room smelled bad and was not cleaned properly. Very disappointed.,2,negative,Robert H.,2022-10-16,Downtown Lodge,The room smelled bad and was not cleaned properly. Very disappointed.,69,11,room smell bad clean proper disappoint,38,6,31,5,69,11,5.75,3,0,0,2,0.02857142857142857,1,Cleanliness & Room Quality
Outstanding experience! The staff went above and beyond. Great breakfast and amenities.,5,positive,Brian M.,2023-07-13,Mountain View Inn,Outstanding experience! The staff went above and beyond. Great breakfast and amenities.,87,12,outstand experi staff went beyond great breakfast amen,54,8,33,4,87,12,6.6923076923076925,4,1,0,3,0.03409090909090909,3,Service & Staff Quality
The hotel was clean but the decor was outdated and dull.,3,neutral,Amanda C.,2023-11-22,Crystal Palace Hotel,The hotel was clean but the decor was outdated and dull.,56,11,hotel clean decor outdat dull,29,5,27,6,56,11,4.666666666666667,2,0,0,1,0.017543859649122806,1,Cleanliness & Room Quality
Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,5,positive,Chris T.,2022-12-06,Sunset Beach Hotel,Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,80,11,perfect getaway hotel exceed expect recommend friend,52,7,28,4,80,11,6.666666666666667,4,1,0,3,0.037037037037037035,0,"Topic: getaway, exceed, expect"
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,4,positive,Megan R.,2023-11-06,Downtown Lodge,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,86,14,best hotel ever stay everyth perfect check check,48,8,38,6,86,14,5.733333333333333,3,0,0,3,0.034482758620689655,3,Service & Staff Quality
 I must say fantastic service and beautiful rooms. the location was perfect for sightseeing.,4,positive,Michael B.,2020-05-11,Mountain View Inn, I must say fantastic service and beautiful rooms. the location was perfect for sightseeing.,92,14,must say fantast servic beauti room locat perfect sightse,57,9,35,5,92,14,6.133333333333334,3,0,0,1,0.010752688172043012,2,"Topic: beauti, perfect, servic"
Reasonable stay for the price. The breakfast was average. A bit pricey.,3,neutral,Sarah M.,2023-10-15,Sunset Beach Hotel,Reasonable stay for the price. The breakfast was average. A bit pricey.,71,12,reason stay price breakfast averag bit pricey,45,7,26,5,71,12,5.461538461538462,4,0,0,3,0.041666666666666664,3,Service & Staff Quality
"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",5,positive,Daniel F.,2024-08-02,Crystal Palace Hotel,"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",86,12,hotel absolut amaz great servic friend staff perfect locat,58,9,28,3,86,12,6.615384615384615,3,1,0,2,0.022988505747126436,3,Service & Staff Quality
"Disgusting! Hair in the bed, stained sheets, and rude management.",2,negative,Kevin J.,2021-03-08,Seaside Resort,"Disgusting! Hair in the bed, stained sheets, and rude management.",65,10,disgust hair bed stain sheet rude manag,39,7,26,3,65,10,5.909090909090909,3,1,0,2,0.030303030303030304,3,Service & Staff Quality
Beautiful hotel in a great location. The rooftop bar had amazing views. Not bad.,4,positive,Nicole S.,2020-09-22,Golden Star Hotel,Beautiful hotel in a great location. The rooftop bar had amazing views. Not bad.,80,14,beauti hotel great locat rooftop bar amaz view bad,50,9,30,5,80,14,5.333333333333333,4,0,0,3,0.037037037037037035,3,Service & Staff Quality
"Terrible experience! The room was dirty, staff was rude, and the location was noisy.",2,negative,Rachel G.,2021-09-28,Harbor View Hotel,"Terrible experience! The room was dirty, staff was rude, and the location was noisy.",84,14,terribl experi room dirti staff rude locat noisi,48,8,36,6,84,14,5.6,3,1,0,2,0.023529411764705882,3,Service & Staff Quality
"The hotel was absolutely amazing! Great service, friendly staff, and perfect location. A bit pricey.",5,positive,Megan R.,2021-03-13,Ocean Breeze Resort,"The hotel was absolutely amazing! Great service, friendly staff, and perfect location. A bit pricey.",100,15,hotel absolut amaz great servic friend staff perfect locat bit pricey,69,11,31,4,100,15,6.25,4,1,0,3,0.0297029702970297,3,Service & Staff Quality
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful. Will come back.",5,positive,Emily R.,2022-02-27,Grand Plaza Hotel,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful. Will come back.",101,17,room spotless bed comfort staff incred help come back,53,9,48,8,101,17,5.611111111111111,3,0,0,2,0.0196078431372549,4,Room & Comfort
Decent hotel in a convenient location. The room was okay but could be cleaner.,3,neutral,Sarah M.,2024-08-09,Park View Hotel,Decent hotel in a convenient location. The room was okay but could be cleaner.,78,14,decent hotel conveni locat room okay could cleaner,50,8,28,6,78,14,5.2,3,0,0,2,0.02531645569620253,3,Service & Staff Quality
Overpriced and underwhelming. The service was poor and the facilities were outdated. Not bad.,1,negative,Rachel G.,2021-05-10,Luxury Stay Hotel,Overpriced and underwhelming. The service was poor and the facilities were outdated. Not bad.,93,14,overpr underwhelm servic poor facil outdat bad,46,7,47,7,93,14,6.2,4,0,0,3,0.031914893617021274,3,Service & Staff Quality
Excellent breakfast but the room was overpriced for what it offered.,3,neutral,Jennifer L.,2024-09-09,Mountain View Inn,Excellent breakfast but the room was overpriced for what it offered.,68,11,excel breakfast room overpr offer,33,5,35,6,68,11,5.666666666666667,2,0,0,1,0.014492753623188406,3,Service & Staff Quality
Reasonable stay for the price. The breakfast was average. Worth the money.,3,neutral,Lisa P.,2021-11-13,The Metropolitan,Reasonable stay for the price. The breakfast was average. Worth the money.,74,12,reason stay price breakfast averag worth money,46,7,28,5,74,12,5.6923076923076925,4,0,0,3,0.04,3,Service & Staff Quality
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",5,positive,Kevin J.,2021-09-07,City Center Suites,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",85,14,room spotless bed comfort staff incred help,43,7,42,7,85,14,5.666666666666667,2,0,0,1,0.011627906976744186,4,Room & Comfort
Modern room but the bathroom was not clean. Disappointing.,2,negative,Emily R.,2022-10-03,Grand Plaza Hotel,Modern room but the bathroom was not clean. Disappointing.,58,9,modern room bathroom clean disappoint,37,5,21,4,58,9,5.8,3,0,0,2,0.03389830508474576,1,Cleanliness & Room Quality
The hotel was okay. Nothing special but also nothing terrible. Good value.,3,neutral,Daniel F.,2023-01-14,Mountain View Inn,The hotel was okay. Nothing special but also nothing terrible. Good value.,74,12,hotel okay noth special also noth terribl good valu,51,9,23,3,74,12,5.6923076923076925,4,0,0,3,0.04,3,Service & Staff Quality
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,4,positive,Daniel F.,2021-05-22,Sunset Beach Hotel,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,86,14,best hotel ever stay everyth perfect check check,48,8,38,6,86,14,5.733333333333333,3,0,0,3,0.034482758620689655,3,Service & Staff Quality
The service was impeccable. The staff remembered our preferences from our last stay. Would recommend.,4,positive,Rachel G.,2022-07-16,Crystal Palace Hotel,The service was impeccable. The staff remembered our preferences from our last stay. Would recommend.,101,15,servic impecc staff rememb prefer last stay would recommend,59,9,42,6,101,15,6.3125,4,0,0,3,0.029411764705882353,3,Service & Staff Quality
Great value for money! The room was spacious and modern. Staff were very friendly.,5,positive,Emily R.,2020-10-26,Royal Palace Hotel,Great value for money! The room was spacious and modern. Staff were very friendly.,82,14,great valu money room spacious modern staff friend,50,8,32,6,82,14,5.466666666666667,4,1,0,3,0.03614457831325301,3,Service & Staff Quality
The hotel met our basic needs. The staff was polite but not memorable. Worth the money.,3,neutral,Ashley D.,2021-03-28,Grand Plaza Hotel,The hotel met our basic needs. The staff was polite but not memorable. Worth the money.,87,16,hotel met basic need staff polit memor worth money,50,9,37,7,87,16,5.117647058823529,4,0,0,3,0.03409090909090909,3,Service & Staff Quality
The room was nice but the noise from the street was unbearable.,3,neutral,Brian M.,2021-06-23,Budget Inn Express,The room was nice but the noise from the street was unbearable.,63,12,room nice nois street unbear,28,5,35,7,63,12,4.846153846153846,2,0,0,1,0.015625,3,Service & Staff Quality
The bathroom was disgusting and the room had bedbugs. Avoid at all costs!,1,negative,James W.,2020-06-26,Royal Palace Hotel,The bathroom was disgusting and the room had bedbugs. Avoid at all costs!,73,13,bathroom disgust room bedbug avoid cost,39,6,34,7,73,13,5.214285714285714,3,1,0,2,0.02702702702702703,3,Service & Staff Quality
 I must say perfect getaway! the hotel exceeded all expectations. will recommend to friends.,4,positive,Lisa P.,2024-12-22,Royal Gardens Hotel, I must say perfect getaway! the hotel exceeded all expectations. will recommend to friends.,92,14,must say perfect getaway hotel exceed expect recommend friend,61,9,31,5,92,14,6.133333333333334,4,1,0,1,0.010752688172043012,0,"Topic: getaway, exceed, expect"
Very clean and well-maintained hotel. The location was ideal for our trip.,5,positive,Daniel F.,2023-02-28,Royal Palace Hotel,Very clean and well-maintained hotel. The location was ideal for our trip.,74,12,clean well maintain hotel locat ideal trip,42,7,32,5,74,12,5.6923076923076925,3,0,0,2,0.02666666666666667,1,Cleanliness & Room Quality
Overpriced and underwhelming. The service was poor and the facilities were outdated.,1,negative,Michael B.,2023-05-14,Seaside Resort,Overpriced and underwhelming. The service was poor and the facilities were outdated.,84,12,overpr underwhelm servic poor facil outdat,42,6,42,6,84,12,6.461538461538462,3,0,0,2,0.023529411764705882,3,Service & Staff Quality
 I would say the hotel was okay for a one-night stay. nothing remarkable.,3,neutral,Ashley D.,2024-12-20,Royal Gardens Hotel, I would say the hotel was okay for a one-night stay. nothing remarkable.,73,13,would say hotel okay one night stay noth remark,47,9,26,4,73,13,5.214285714285714,3,0,0,1,0.013513513513513514,1,Cleanliness & Room Quality
"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",2,negative,Sarah M.,2021-03-09,Budget Inn Express,"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",81,12,worst hotel experi ever mold bathroom broken furnitur aw smell,62,10,19,2,81,12,6.230769230769231,3,0,0,2,0.024390243902439025,3,Service & Staff Quality
Very clean and well-maintained hotel. The location was ideal for our trip.,5,positive,Brian M.,2021-03-01,Ocean Breeze Resort,Very clean and well-maintained hotel. The location was ideal for our trip.,74,12,clean well maintain hotel locat ideal trip,42,7,32,5,74,12,5.6923076923076925,3,0,0,2,0.02666666666666667,1,Cleanliness & Room Quality
Very disappointed. The room was not as described and the bathroom was filthy.,1,negative,Lisa P.,2023-12-21,The Metropolitan,Very disappointed. The room was not as described and the bathroom was filthy.,77,13,disappoint room describ bathroom filthi,39,5,38,8,77,13,5.5,3,0,0,2,0.02564102564102564,3,Service & Staff Quality
Great value for money! The room was spacious and modern. Staff were very friendly.,5,positive,Emily R.,2022-02-12,Royal Gardens Hotel,Great value for money! The room was spacious and modern. Staff were very friendly.,82,14,great valu money room spacious modern staff friend,50,8,32,6,82,14,5.466666666666667,4,1,0,3,0.03614457831325301,3,Service & Staff Quality
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,4,positive,Laura B.,2023-03-21,Mountain View Inn,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,86,14,best hotel ever stay everyth perfect check check,48,8,38,6,86,14,5.733333333333333,3,0,0,3,0.034482758620689655,3,Service & Staff Quality
Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,4,positive,Ashley D.,2024-06-24,Park View Hotel,Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,80,11,perfect getaway hotel exceed expect recommend friend,52,7,28,4,80,11,6.666666666666667,4,1,0,3,0.037037037037037035,0,"Topic: getaway, exceed, expect"
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",4,positive,Amanda C.,2020-01-16,Ocean Breeze Resort,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",85,14,room spotless bed comfort staff incred help,43,7,42,7,85,14,5.666666666666667,2,0,0,1,0.011627906976744186,4,Room & Comfort
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",4,positive,Daniel F.,2024-06-17,Downtown Lodge,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",85,14,room spotless bed comfort staff incred help,43,7,42,7,85,14,5.666666666666667,2,0,0,1,0.011627906976744186,4,Room & Comfort
"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",5,positive,Jennifer L.,2024-03-11,Golden Star Hotel,"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",72,9,amaz experi clean room help staff delici breakfast,50,8,22,1,72,9,7.2,3,1,0,2,0.0273972602739726,4,Room & Comfort
The hotel was okay for a one-night stay. Nothing remarkable.,3,neutral,Lisa P.,2022-09-15,Park View Hotel,The hotel was okay for a one-night stay. Nothing remarkable.,60,10,hotel okay one night stay noth remark,37,7,23,3,60,10,5.454545454545454,3,0,0,2,0.03278688524590164,1,Cleanliness & Room Quality
Average experience. The service was fine but nothing special. Would visit again.,3,neutral,Chris T.,2021-12-22,Ocean Breeze Resort,Average experience. The service was fine but nothing special. Would visit again.,80,12,averag experi servic fine noth special would visit,50,8,30,4,80,12,6.153846153846154,4,0,0,3,0.037037037037037035,3,Service & Staff Quality
" Considering everything, great location and friendly staff, but the room was dirty and the bed was uncomfortable.",3,neutral,Laura B.,2023-09-09,Royal Gardens Hotel," Considering everything, great location and friendly staff, but the room was dirty and the bed was uncomfortable.",113,17,consid everyth great locat friend staff room dirti bed uncomfort,64,10,49,7,113,17,6.277777777777778,2,0,0,1,0.008771929824561403,3,Service & Staff Quality
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful. Worth the money.",4,positive,Robert H.,2021-10-28,The Metropolitan,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful. Worth the money.",102,17,room spotless bed comfort staff incred help worth money,55,9,47,8,102,17,5.666666666666667,3,0,0,2,0.019417475728155338,4,Room & Comfort
Outstanding experience! The staff went above and beyond. Great breakfast and amenities.,5,positive,Lisa P.,2023-06-17,Sunset Beach Hotel,Outstanding experience! The staff went above and beyond. Great breakfast and amenities.,87,12,outstand experi staff went beyond great breakfast amen,54,8,33,4,87,12,6.6923076923076925,4,1,0,3,0.03409090909090909,3,Service & Staff Quality
" Honestly, very clean and well-maintained hotel. the location was ideal for our trip.",5,positive,Robert H.,2023-03-24,Harbor View Hotel," Honestly, very clean and well-maintained hotel. the location was ideal for our trip.",85,13,honest clean well maintain hotel locat ideal trip,49,8,36,5,85,13,6.071428571428571,3,0,0,1,0.011627906976744186,1,Cleanliness & Room Quality
Excellent breakfast but the room was overpriced for what it offered.,2,negative,Daniel F.,2020-12-08,Park View Hotel,Excellent breakfast but the room was overpriced for what it offered.,68,11,excel breakfast room overpr offer,33,5,35,6,68,11,5.666666666666667,2,0,0,1,0.014492753623188406,3,Service & Staff Quality
"Terrible experience! The room was dirty, staff was rude, and the location was noisy. Good value.",2,negative,James W.,2021-07-20,Park View Hotel,"Terrible experience! The room was dirty, staff was rude, and the location was noisy. Good value.",96,16,terribl experi room dirti staff rude locat noisi good valu,58,10,38,6,96,16,5.647058823529412,4,1,0,3,0.030927835051546393,3,Service & Staff Quality
" Honestly, very clean and well-maintained hotel. the location was ideal for our trip.",5,positive,Nicole S.,2023-01-21,Grand Plaza Hotel," Honestly, very clean and well-maintained hotel. the location was ideal for our trip.",85,13,honest clean well maintain hotel locat ideal trip,49,8,36,5,85,13,6.071428571428571,3,0,0,1,0.011627906976744186,1,Cleanliness & Room Quality
" Overall, the best hotel i've ever stayed at. everything was perfect from check-in to check-out.",5,positive,Amanda C.,2020-10-25,Sunset Beach Hotel," Overall, the best hotel i've ever stayed at. everything was perfect from check-in to check-out.",96,15,overal best hotel ever stay everyth perfect check check,55,9,41,6,96,15,6.0,3,0,0,1,0.010309278350515464,3,Service & Staff Quality
Excellent breakfast but the room was overpriced for what it offered.,4,positive,Ashley D.,2023-09-13,Grand Plaza Hotel,Excellent breakfast but the room was overpriced for what it offered.,68,11,excel breakfast room overpr offer,33,5,35,6,68,11,5.666666666666667,2,0,0,1,0.014492753623188406,3,Service & Staff Quality
"Amazing experience! Clean rooms, helpful staff, and delicious breakfast. Worth the money.",5,positive,Emily R.,2023-04-18,City Center Suites,"Amazing experience! Clean rooms, helpful staff, and delicious breakfast. Worth the money.",89,12,amaz experi clean room help staff delici breakfast worth money,62,10,27,2,89,12,6.846153846153846,4,1,0,3,0.03333333333333333,4,Room & Comfort
Decent place to stay. The room was comfortable enough.,3,neutral,Megan R.,2020-07-03,Park View Hotel,Decent place to stay. The room was comfortable enough.,54,9,decent place stay room comfort enough,37,6,17,3,54,9,5.4,3,0,0,2,0.03636363636363636,1,Cleanliness & Room Quality
Decent hotel in a convenient location. The room was okay but could be cleaner.,3,neutral,Jennifer L.,2024-01-08,Budget Inn Express,Decent hotel in a convenient location. The room was okay but could be cleaner.,78,14,decent hotel conveni locat room okay could cleaner,50,8,28,6,78,14,5.2,3,0,0,2,0.02531645569620253,3,Service & Staff Quality
 I would say decent place to stay. the room was comfortable enough.,3,neutral,Sarah M.,2020-10-19,Budget Inn Express, I would say decent place to stay. the room was comfortable enough.,67,12,would say decent place stay room comfort enough,47,8,20,4,67,12,5.153846153846154,3,0,0,1,0.014705882352941176,1,Cleanliness & Room Quality
" All things considered, average hotel with basic facilities. the location was good.",3,neutral,Brian M.,2023-05-10,The Metropolitan," All things considered, average hotel with basic facilities. the location was good.",83,12,thing consid averag hotel basic facil locat good,48,8,35,4,83,12,6.384615384615385,3,0,0,1,0.011904761904761904,3,Service & Staff Quality
The service was impeccable. The staff remembered our preferences from our last stay.,5,positive,Michael B.,2023-10-09,Downtown Lodge,The service was impeccable. The staff remembered our preferences from our last stay.,84,13,servic impecc staff rememb prefer last stay,43,7,41,6,84,13,6.0,3,0,0,2,0.023529411764705882,3,Service & Staff Quality
Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,5,positive,John D.,2023-11-26,Downtown Lodge,Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,80,11,perfect getaway hotel exceed expect recommend friend,52,7,28,4,80,11,6.666666666666667,4,1,0,3,0.037037037037037035,0,"Topic: getaway, exceed, expect"
"Complete waste of money. The room was tiny, dirty, and the breakfast was awful.",1,negative,Lisa P.,2024-09-09,City Center Suites,"Complete waste of money. The room was tiny, dirty, and the breakfast was awful.",79,14,complet wast money room tini dirti breakfast aw,47,8,32,6,79,14,5.266666666666667,3,0,0,2,0.025,3,Service & Staff Quality
The room was nice but the noise from the street was unbearable. A bit pricey.,2,negative,Nicole S.,2023-02-12,Seaside Resort,The room was nice but the noise from the street was unbearable. A bit pricey.,77,15,room nice nois street unbear bit pricey,39,7,38,8,77,15,4.8125,3,0,0,2,0.02564102564102564,3,Service & Staff Quality
Modern room but the bathroom was not clean. Disappointing.,3,neutral,Sarah M.,2020-12-25,Luxury Stay Hotel,Modern room but the bathroom was not clean. Disappointing.,58,9,modern room bathroom clean disappoint,37,5,21,4,58,9,5.8,3,0,0,2,0.03389830508474576,1,Cleanliness & Room Quality
" Overall, excellent stay! the room was clean, comfortable, and well-equipped. will definitely come back.",5,positive,Nicole S.,2022-10-23,Seaside Resort," Overall, excellent stay! the room was clean, comfortable, and well-equipped. will definitely come back.",104,14,overal excel stay room clean comfort well equip definit come back,65,11,39,3,104,14,6.933333333333334,4,1,0,1,0.009523809523809525,1,Cleanliness & Room Quality
"Perfect location, beautiful views, and exceptional service. Highly recommended!",4,positive,Kevin J.,2023-01-08,Crystal Palace Hotel,"Perfect location, beautiful views, and exceptional service. Highly recommended!",79,9,perfect locat beauti view except servic high recommend,54,8,25,1,79,9,7.9,3,1,0,2,0.025,2,"Topic: beauti, perfect, servic"
"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",4,positive,Sarah M.,2023-02-06,Grand Plaza Hotel,"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",72,9,amaz experi clean room help staff delici breakfast,50,8,22,1,72,9,7.2,3,1,0,2,0.0273972602739726,4,Room & Comfort
Standard accommodation. The wifi was slow but the bed was comfortable.,3,neutral,James W.,2020-07-19,Ocean Breeze Resort,Standard accommodation. The wifi was slow but the bed was comfortable.,70,11,standard accommod wifi slow bed comfort,39,6,31,5,70,11,5.833333333333333,3,0,0,2,0.028169014084507043,4,Room & Comfort
The service was impeccable. The staff remembered our preferences from our last stay.,4,positive,Kevin J.,2022-09-26,Budget Inn Express,The service was impeccable. The staff remembered our preferences from our last stay.,84,13,servic impecc staff rememb prefer last stay,43,7,41,6,84,13,6.0,3,0,0,2,0.023529411764705882,3,Service & Staff Quality
Standard hotel with basic amenities. Good for budget travelers.,3,neutral,Chris T.,2023-04-22,Ocean Breeze Resort,Standard hotel with basic amenities. Good for budget travelers.,63,9,standard hotel basic amen good budget travel,44,7,19,2,63,9,6.3,3,0,0,2,0.03125,3,Service & Staff Quality
"Disgusting! Hair in the bed, stained sheets, and rude management.",2,negative,Laura B.,2022-12-05,Budget Inn Express,"Disgusting! Hair in the bed, stained sheets, and rude management.",65,10,disgust hair bed stain sheet rude manag,39,7,26,3,65,10,5.909090909090909,3,1,0,2,0.030303030303030304,3,Service & Staff Quality
" To be honest, beautiful hotel but terrible service. the staff was rude and unhelpful.",3,neutral,Megan R.,2023-04-17,Seaside Resort," To be honest, beautiful hotel but terrible service. the staff was rude and unhelpful.",86,14,honest beauti hotel terribl servic staff rude unhelp,52,8,34,6,86,14,5.733333333333333,3,0,0,1,0.011494252873563218,3,Service & Staff Quality
" Considering everything, the hotel was absolutely amazing! great service, friendly staff, and perfect location.",4,positive,Kevin J.,2023-09-04,Sunset Beach Hotel," Considering everything, the hotel was absolutely amazing! great service, friendly staff, and perfect location.",111,14,consid everyth hotel absolut amaz great servic friend staff perfect locat,73,11,38,3,111,14,7.4,3,1,0,1,0.008928571428571428,3,Service & Staff Quality
The hotel was not as advertised. Misleading photos and rude staff.,1,negative,Ashley D.,2021-05-24,Sunset Beach Hotel,The hotel was not as advertised. Misleading photos and rude staff.,66,11,hotel advertis mislead photo rude staff,39,6,27,5,66,11,5.5,3,0,0,2,0.029850746268656716,3,Service & Staff Quality
"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",5,positive,Emily R.,2023-09-27,Royal Palace Hotel,"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",86,12,hotel absolut amaz great servic friend staff perfect locat,58,9,28,3,86,12,6.615384615384615,3,1,0,2,0.022988505747126436,3,Service & Staff Quality
